Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0079,-0.0097,0.06,0,0,0,6.4660,0.0670,0.0013,0.0002,0.1464,-0.0009,0.1959,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/base_link.STL,,身体内板-2;髋部垫件-2;电机垫块-1;身体内板-1;髋部垫件-1;Odin1横置-1;摄像头高柱-1;主控-1;屏幕底座-1;电池模型-2;摄像头高柱盖-1;电池模型-1;髋部垫件-8;髋部垫件-7;髋部垫件-5;髋部垫件-9;髋部垫件-3;电机垫块-3;髋部垫件-4;电机垫块-4;电机垫块-2;底板-2;身体底管中间（）-4;身体底管中间（）-3;身体底管（365mm）-23;连接板-2;火狗电机-10;火狗电机-1;连接板-1;身体底管（365mm）-22;电池壳-1;底板-1;火狗电机-6;火狗电机-9;身体板-5;连接板-6;连接板-3;Odin1垫块-1;15立方m4六面螺母-4;身体底管中间（）-2;15立方m4六面螺母-2;身体底管中间（）-1;垫块上、-1;身体板-3;身体管（72mm）-1;吸盘侧支撑件下-2;15立方m4六面螺母-3;15立方m4六面螺母-1;身体管（85mm）-8;身体管（85mm）-10;身体管（85mm）-9;底部吸盘支撑-2;身体管（85mm）-11;底部吸盘支撑-1;垫块上、-2,base,,,,0,0,0,0,0,0,,0,0,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RF,0.0589,0.0026,0,0,0,0,0.9326,0.0006,0.0000,0.0000,0.0011,0.0000,0.0007,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF.STL,1,1,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF.STL,,火狗电机-14;电机外壳-1,RF_,rf,RF_joint,revolute,0.184,-0.1,0.075,0,0,0,base_link,1,0,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RF1,-0.0042,-0.048,-0.0165,0,0,0,1.2465,0.0043,-0.0002,-0.0007,0.0046,-0.0006,0.0014,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF1.STL,1,1,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF1.STL,,火狗电机-13;电机连接件整体-4;3.12狗霸大腿支撑件-7;大腿版连接-6;3.7-狗霸大腿外侧-6;5.28连杆-3;3.10主轴上侧镜像-2;5.28限位连接件-3;5.28切割模板2-3;3.10主轴下侧-7;3.10输出轴垫片-5,RF1_,rf1,RF1_joint,revolute,0.0611,-0.016359,9.5117E-05,0,0,0,RF,0,-1,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RF2,0.0206,0.0004,-0.1718,0,0,0,0.4492,0.0037,0.0000,-0.0001,0.0039,0.0000,0.0003,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF2.STL,1,1,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF2.STL,,3.20关节拆解外侧-12;3.20关节拆解外侧-11;3.20关节拆解内侧-6;3.8-狗霸小腿-14;3.10关节转轴外径10mm孔5-6;3.8-狗霸小腿-13;3.15-狗霸小腿支撑件-6;4.12RS00轮套另一侧-hg-3-镜像-1;灵足时代RS00-1;3.21RS00中脊10mm-cnc-5-2;4.13RS00轮套-hg3-镜像-1,RF3_,rf3,RF2_joint,revolute,-0.018426,-0.078417,-0.25543,0,0,0,RF1,0,-1,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RF3,-0.0005,-0.0487,-0.0001,0,0,0,0.6405,0.0017,0.0000,0.0000,0.0032,0.0000,0.0017,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF3.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RF3.STL,,真空胎-1;可拆轮毂外1-1-RS00-1;可拆轮毂内1-1-RS00-1;12.22-RS00轮毂电机垫块-1个-不要强度-1,RF wheel foot,rf_wheel foot,RF3_joint,continuous,0.0049156,-0.0047548,-0.25579,0,0,0,RF2,0,-1,0,14,27.2271,0,0,,,,,,,,
RR,-0.0589,0.0026,0,0,0,0,0.9326,0.0006,0.0000,0.0000,0.0011,0.0000,0.0007,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR.STL,1,1,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR.STL,,火狗电机-5;电机外壳-4,RR_,rr,RR_joint,revolute,-0.184,-0.1,0.075,0,0,0,base_link,-1,0,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RR1,-0.0005,-0.0488,-0.0187,0,0,0,1.3504,0.0044,-0.0001,-0.0005,0.0049,-0.0007,0.0017,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR1.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR1.STL,,电机连接件整体-1;火狗电机-4;3.12狗霸大腿支撑件-5;大腿版连接-5;3.10主轴下侧-5;5.28连杆-2;3.7-狗霸大腿外侧-5;3.10主轴上侧镜像-1;3.10输出轴垫片-2;小腿限位-1;5.28限位连接件-4;5.28切割模板2-2,RR1_,rr1,RR1_joint,revolute,-0.0611,-0.01639,0,0,0,0,RR,0,-1,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RR2,0.0213,0.0004,-0.1719,0,0,0,0.4492,0.0037,0.0000,-0.0001,0.0039,0.0000,0.0003,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR2.STL,1,1,1,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR2.STL,,3.15-狗霸小腿支撑件-5;3.20关节拆解内侧-5;3.20关节拆解外侧-10;3.20关节拆解外侧-9;3.8-狗霸小腿-12;3.8-狗霸小腿-11;3.10关节转轴外径10mm孔5-5;4.12RS00轮套另一侧-hg-3-镜像-3;灵足时代RS00-5;3.21RS00中脊10mm-cnc-5-5;4.13RS00轮套-hg3-镜像-3,RR3_,rr3,RR2_joint,revolute,-0.019158,-0.078386,-0.25528,0,0,0,RR1,0,-1,0,40,12.5664,-3.1416,3.1416,,,,,,,,
RR3,-0.0005,-0.0487,-0.0001,0,0,0,0.6405,0.0017,0.0000,0.0000,0.0032,0.0000,0.0017,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR3.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://火狗2.2.SLDASM/meshes/RR3.STL,,真空胎-6;可拆轮毂外1-1-RS00-6;可拆轮毂内1-1-RS00-6;12.22-RS00轮毂电机垫块-1个-不要强度-5,RR wheel foot,rr_wheel foot,RR3_joint,continuous,0.0056469,-0.0047857,-0.25594,0,0,0,RR2,0,-1,0,14,27.2271,0,0,,,,,,,,
LR,-0.0589,-0.0026,0,0,0,0,0.9326,0.0006,0.0000,0.0000,0.0011,0.0000,0.0007,-0.0611,0.01639,0,0,0,0,package://火狗2.2.SLDASM/meshes/LR.STL,0.86667,0.9098,1,1,-0.0611,0.01639,0,0,0,0,package://火狗2.2.SLDASM/meshes/LR.STL,,电机外壳-3;火狗电机-12,LR1_,lr1,LR_joint,revolute,-0.184,0.1,0.075,0,0,0,base_link,-1,0,0,40,12.5664,-3.1416,3.1416,,,,,,,,
